dealer_id,date,interaction_type,notes,duration_mins
D029,2024-07-05,Review Meeting,Aligned on quarterly targets and marketing support.,72
D029,2024-03-04,Dealer Visit,Talked about EV potential in the region.,30
D029,2024-02-20,Dealer Visit,Aligned on quarterly targets and marketing support.,19
D029,2024-04-11,Video Call,Talked about EV potential in the region.,47
D029,2024-04-26,Call,Addressed complaints related to warranty delays.,46
D029,2024-10-31,Video Call,Discussed sales performance and incentives.,48
D030,2024-10-01,Review Meeting,Discussed sales performance and incentives.,47
D030,2024-05-01,Dealer Visit,Reviewed service quality and customer feedback.,69
D030,2024-08-29,Review Meeting,Discussed sales performance and incentives.,72
D030,2024-08-25,Email,Discussed sales performance and incentives.,12
D030,2024-01-13,Email,Talked about EV potential in the region.,63
D031,2024-09-09,Video Call,Talked about EV potential in the region.,59
D031,2024-09-09,Call,Addressed complaints related to warranty delays.,86
D031,2024-06-18,Email,Discussed sales performance and incentives.,34
D031,2024-12-28,Video Call,Reviewed service quality and customer feedback.,43
D031,2024-05-12,Video Call,Addressed complaints related to warranty delays.,21
D031,2024-02-27,Video Call,Addressed complaints related to warranty delays.,76
D031,2024-02-11,Dealer Visit,Aligned on quarterly targets and marketing support.,50
D031,2024-07-07,Video Call,Addressed complaints related to warranty delays.,62
D031,2024-06-18,Email,Reviewed service quality and customer feedback.,14
D032,2024-04-17,Review Meeting,Reviewed service quality and customer feedback.,46
D032,2024-10-28,Dealer Visit,Discussed sales performance and incentives.,21
D032,2024-10-16,Email,Discussed sales performance and incentives.,48
D032,2024-10-27,Dealer Visit,Addressed complaints related to warranty delays.,85
D032,2024-03-14,Video Call,Discussed sales performance and incentives.,50
D033,2024-02-01,Video Call,Discussed sales performance and incentives.,52
D033,2024-09-15,Email,Talked about EV potential in the region.,29
D033,2024-09-05,Call,Reviewed service quality and customer feedback.,11
D033,2024-11-18,Review Meeting,Reviewed service quality and customer feedback.,72
D033,2024-12-08,Email,Aligned on quarterly targets and marketing support.,86
D033,2024-01-21,Call,Reviewed service quality and customer feedback.,17
D033,2024-02-22,Video Call,Discussed sales performance and incentives.,58
D033,2024-02-10,Call,Reviewed service quality and customer feedback.,37
D033,2024-06-22,Review Meeting,Aligned on quarterly targets and marketing support.,63
D033,2024-06-13,Video Call,Aligned on quarterly targets and marketing support.,30
D033,2024-09-28,Call,Addressed complaints related to warranty delays.,76
D033,2024-05-05,Call,Addressed complaints related to warranty delays.,74
D033,2024-01-04,Dealer Visit,Aligned on quarterly targets and marketing support.,75
D033,2024-06-23,Call,Addressed complaints related to warranty delays.,59
D033,2024-01-03,Review Meeting,Discussed sales performance and incentives.,33
D033,2024-04-08,Email,Reviewed service quality and customer feedback.,18
D033,2024-09-20,Dealer Visit,Talked about EV potential in the region.,13
D033,2024-11-18,Video Call,Talked about EV potential in the region.,56
D033,2024-01-10,Email,Talked about EV potential in the region.,31
D033,2024-08-28,Video Call,Aligned on quarterly targets and marketing support.,88
D033,2024-05-27,Video Call,Reviewed service quality and customer feedback.,64
D033,2024-04-28,Call,Reviewed service quality and customer feedback.,62
D033,2024-09-24,Dealer Visit,Addressed complaints related to warranty delays.,60
D033,2024-04-21,Call,Reviewed service quality and customer feedback.,47
D034,2024-11-10,Call,Reviewed service quality and customer feedback.,83
D034,2024-04-19,Email,Aligned on quarterly targets and marketing support.,64
D034,2024-11-18,Video Call,Aligned on quarterly targets and marketing support.,82
D034,2024-11-25,Call,Addressed complaints related to warranty delays.,88
D034,2024-07-07,Video Call,Reviewed service quality and customer feedback.,31
D034,2024-02-13,Email,Talked about EV potential in the region.,52
D034,2024-01-16,Email,Talked about EV potential in the region.,85
D034,2024-02-09,Call,Discussed sales performance and incentives.,13
D034,2024-11-15,Dealer Visit,Talked about EV potential in the region.,31
D034,2024-09-05,Review Meeting,Discussed sales performance and incentives.,23
D034,2024-01-01,Dealer Visit,Talked about EV potential in the region.,66
D034,2024-01-17,Dealer Visit,Discussed sales performance and incentives.,42
D034,2024-03-01,Dealer Visit,Talked about EV potential in the region.,33
D034,2024-10-30,Email,Addressed complaints related to warranty delays.,18
D034,2024-05-03,Call,Talked about EV potential in the region.,35
D034,2024-04-14,Video Call,Reviewed service quality and customer feedback.,30
D034,2024-11-24,Call,Aligned on quarterly targets and marketing support.,24
D034,2024-03-12,Email,Addressed complaints related to warranty delays.,89
D034,2024-07-04,Review Meeting,Reviewed service quality and customer feedback.,19
D034,2024-10-19,Call,Aligned on quarterly targets and marketing support.,37
D034,2024-12-11,Call,Reviewed service quality and customer feedback.,42
D035,2024-06-30,Call,Discussed sales performance and incentives.,44
D035,2024-09-16,Call,Reviewed service quality and customer feedback.,48
D035,2024-02-21,Dealer Visit,Reviewed service quality and customer feedback.,62
D035,2024-04-01,Email,Talked about EV potential in the region.,55
D035,2024-07-02,Call,Addressed complaints related to warranty delays.,30
D035,2024-07-20,Review Meeting,Talked about EV potential in the region.,52
D035,2024-05-21,Call,Discussed sales performance and incentives.,79
D035,2024-09-22,Call,Reviewed service quality and customer feedback.,75
D035,2024-11-03,Email,Reviewed service quality and customer feedback.,76
D035,2024-01-05,Call,Talked about EV potential in the region.,85
D035,2024-12-29,Call,Discussed sales performance and incentives.,87
D035,2024-07-05,Email,Discussed sales performance and incentives.,77
D035,2024-08-01,Dealer Visit,Addressed complaints related to warranty delays.,36
D035,2024-11-17,Email,Aligned on quarterly targets and marketing support.,53
D035,2024-03-27,Email,Discussed sales performance and incentives.,60
D035,2024-08-14,Email,Aligned on quarterly targets and marketing support.,59
D035,2024-02-06,Dealer Visit,Talked about EV potential in the region.,68
D035,2024-05-23,Dealer Visit,Reviewed service quality and customer feedback.,12
D035,2024-08-11,Video Call,Talked about EV potential in the region.,81
D035,2024-05-04,Email,Reviewed service quality and customer feedback.,11
D036,2024-10-18,Call,Addressed complaints related to warranty delays.,66
D036,2024-02-05,Review Meeting,Addressed complaints related to warranty delays.,77
D036,2024-07-19,Dealer Visit,Talked about EV potential in the region.,48
D036,2024-07-13,Email,Aligned on quarterly targets and marketing support.,66
D036,2024-11-27,Review Meeting,Aligned on quarterly targets and marketing support.,25
D036,2024-07-29,Call,Discussed sales performance and incentives.,70
D036,2024-03-24,Video Call,Aligned on quarterly targets and marketing support.,68
D036,2024-02-17,Dealer Visit,Aligned on quarterly targets and marketing support.,72
D036,2024-07-19,Dealer Visit,Addressed complaints related to warranty delays.,89
D036,2024-08-26,Dealer Visit,Addressed complaints related to warranty delays.,33
D036,2024-06-02,Call,Aligned on quarterly targets and marketing support.,75
D036,2024-06-27,Video Call,Aligned on quarterly targets and marketing support.,62
D036,2024-09-29,Review Meeting,Aligned on quarterly targets and marketing support.,79
D036,2024-06-10,Video Call,Addressed complaints related to warranty delays.,13
D036,2024-06-15,Review Meeting,Talked about EV potential in the region.,89
D036,2024-01-08,Email,Talked about EV potential in the region.,17
D036,2024-03-11,Dealer Visit,Discussed sales performance and incentives.,85
D036,2024-01-15,Video Call,Addressed complaints related to warranty delays.,30
D037,2024-04-03,Dealer Visit,Discussed sales performance and incentives.,11
D037,2024-07-11,Video Call,Discussed sales performance and incentives.,54
D037,2024-06-08,Email,Addressed complaints related to warranty delays.,64
D037,2024-01-27,Video Call,Addressed complaints related to warranty delays.,79
D037,2024-01-22,Dealer Visit,Reviewed service quality and customer feedback.,69
D037,2024-05-27,Call,Reviewed service quality and customer feedback.,75
D037,2024-11-25,Dealer Visit,Talked about EV potential in the region.,78
D037,2024-05-16,Review Meeting,Discussed sales performance and incentives.,25
D037,2024-11-28,Dealer Visit,Addressed complaints related to warranty delays.,73
D037,2024-01-20,Email,Talked about EV potential in the region.,88
D037,2024-12-12,Dealer Visit,Reviewed service quality and customer feedback.,74
D037,2024-03-23,Dealer Visit,Addressed complaints related to warranty delays.,26
D037,2024-03-21,Video Call,Talked about EV potential in the region.,72
D037,2024-06-14,Review Meeting,Discussed sales performance and incentives.,42
D037,2024-03-08,Video Call,Addressed complaints related to warranty delays.,48
D037,2024-06-30,Review Meeting,Reviewed service quality and customer feedback.,59
D037,2024-01-10,Review Meeting,Reviewed service quality and customer feedback.,67
D037,2024-08-30,Email,Addressed complaints related to warranty delays.,63
D038,2024-07-25,Video Call,Reviewed service quality and customer feedback.,27
D038,2024-08-18,Email,Discussed sales performance and incentives.,25
D038,2024-05-03,Call,Discussed sales performance and incentives.,59
D038,2024-05-27,Dealer Visit,Addressed complaints related to warranty delays.,71
D038,2024-03-01,Dealer Visit,Discussed sales performance and incentives.,68
D038,2024-11-24,Review Meeting,Aligned on quarterly targets and marketing support.,19
D038,2024-10-09,Call,Talked about EV potential in the region.,80
D038,2024-11-28,Review Meeting,Reviewed service quality and customer feedback.,16
D038,2024-04-25,Dealer Visit,Talked about EV potential in the region.,80
D038,2024-09-08,Dealer Visit,Talked about EV potential in the region.,29
D038,2024-09-20,Call,Discussed sales performance and incentives.,14
D038,2024-11-03,Dealer Visit,Addressed complaints related to warranty delays.,67
D038,2024-01-08,Dealer Visit,Discussed sales performance and incentives.,80
D038,2024-12-26,Review Meeting,Talked about EV potential in the region.,84
D038,2024-12-11,Call,Talked about EV potential in the region.,46
D038,2024-12-25,Email,Addressed complaints related to warranty delays.,23
D038,2024-04-04,Call,Talked about EV potential in the region.,35
D038,2024-05-10,Video Call,Talked about EV potential in the region.,72
D038,2024-04-25,Dealer Visit,Reviewed service quality and customer feedback.,33
D038,2024-03-17,Email,Aligned on quarterly targets and marketing support.,74
D039,2024-09-19,Video Call,Reviewed service quality and customer feedback.,19
D039,2024-11-25,Review Meeting,Addressed complaints related to warranty delays.,73
D039,2024-04-25,Video Call,Reviewed service quality and customer feedback.,68
D039,2024-10-23,Review Meeting,Reviewed service quality and customer feedback.,41
D039,2024-05-07,Email,Talked about EV potential in the region.,88
D039,2024-01-20,Video Call,Reviewed service quality and customer feedback.,36
D039,2024-08-19,Dealer Visit,Discussed sales performance and incentives.,75
D039,2024-02-16,Review Meeting,Aligned on quarterly targets and marketing support.,56
D039,2024-06-05,Review Meeting,Discussed sales performance and incentives.,77
D039,2024-01-25,Dealer Visit,Addressed complaints related to warranty delays.,81
D039,2024-11-08,Video Call,Addressed complaints related to warranty delays.,67
D039,2024-02-13,Dealer Visit,Addressed complaints related to warranty delays.,27
D039,2024-05-17,Call,Aligned on quarterly targets and marketing support.,26
D039,2024-06-11,Dealer Visit,Talked about EV potential in the region.,56
D039,2024-01-24,Call,Reviewed service quality and customer feedback.,61
D039,2024-04-18,Video Call,Talked about EV potential in the region.,53
D039,2024-06-17,Dealer Visit,Discussed sales performance and incentives.,14
D039,2024-03-01,Video Call,Aligned on quarterly targets and marketing support.,77
D039,2024-01-28,Call,Talked about EV potential in the region.,86
D039,2024-03-09,Dealer Visit,Reviewed service quality and customer feedback.,64
D040,2024-08-18,Call,Talked about EV potential in the region.,31
D040,2024-04-01,Video Call,Discussed sales performance and incentives.,77
D040,2024-09-07,Call,Discussed sales performance and incentives.,11
D040,2024-08-25,Email,Aligned on quarterly targets and marketing support.,67
D040,2024-10-13,Email,Reviewed service quality and customer feedback.,66
D040,2024-01-14,Email,Aligned on quarterly targets and marketing support.,67
D040,2024-05-05,Email,Talked about EV potential in the region.,47
D040,2024-07-09,Review Meeting,Aligned on quarterly targets and marketing support.,77
D040,2024-02-03,Call,Aligned on quarterly targets and marketing support.,40
D040,2024-12-16,Review Meeting,Reviewed service quality and customer feedback.,20
D040,2024-08-02,Dealer Visit,Aligned on quarterly targets and marketing support.,85
D040,2024-03-26,Call,Discussed sales performance and incentives.,47
D040,2024-02-08,Video Call,Discussed sales performance and incentives.,13
D040,2024-02-13,Video Call,Talked about EV potential in the region.,16
D040,2024-05-24,Call,Discussed sales performance and incentives.,68
D040,2024-04-01,Video Call,Reviewed service quality and customer feedback.,66
D040,2024-10-26,Email,Reviewed service quality and customer feedback.,67
D041,2024-01-02,Call,Addressed complaints related to warranty delays.,72
D041,2024-01-24,Call,Talked about EV potential in the region.,32
D041,2024-08-15,Review Meeting,Addressed complaints related to warranty delays.,55
D041,2024-02-10,Email,Discussed sales performance and incentives.,31
D041,2024-07-18,Email,Reviewed service quality and customer feedback.,64
D041,2024-04-21,Review Meeting,Aligned on quarterly targets and marketing support.,19
D041,2024-03-05,Dealer Visit,Discussed sales performance and incentives.,30
D041,2024-03-09,Call,Talked about EV potential in the region.,82
D041,2024-08-09,Dealer Visit,Reviewed service quality and customer feedback.,88
D041,2024-03-31,Email,Addressed complaints related to warranty delays.,40
D041,2024-02-28,Review Meeting,Talked about EV potential in the region.,34
D041,2024-07-11,Video Call,Talked about EV potential in the region.,88
D041,2024-12-31,Dealer Visit,Discussed sales performance and incentives.,36
D042,2024-08-03,Call,Aligned on quarterly targets and marketing support.,83
D042,2024-01-14,Review Meeting,Addressed complaints related to warranty delays.,47
D042,2024-06-10,Email,Reviewed service quality and customer feedback.,65
D042,2024-04-14,Call,Talked about EV potential in the region.,47
D042,2024-07-11,Call,Aligned on quarterly targets and marketing support.,16
D042,2024-01-23,Call,Talked about EV potential in the region.,33
D042,2024-05-25,Review Meeting,Aligned on quarterly targets and marketing support.,20
D042,2024-12-12,Dealer Visit,Discussed sales performance and incentives.,51
D042,2024-05-11,Call,Reviewed service quality and customer feedback.,42
D042,2024-10-16,Dealer Visit,Talked about EV potential in the region.,52
D042,2024-03-05,Call,Aligned on quarterly targets and marketing support.,73
D042,2024-06-22,Call,Talked about EV potential in the region.,27
D042,2024-10-02,Email,Aligned on quarterly targets and marketing support.,28
D042,2024-07-30,Email,Talked about EV potential in the region.,12
D042,2024-06-24,Call,Addressed complaints related to warranty delays.,82
D042,2024-05-01,Email,Reviewed service quality and customer feedback.,49
D042,2024-01-29,Video Call,Aligned on quarterly targets and marketing support.,15
D042,2024-11-15,Video Call,Reviewed service quality and customer feedback.,49
D042,2024-04-05,Email,Discussed sales performance and incentives.,24
D042,2024-02-10,Video Call,Aligned on quarterly targets and marketing support.,83
D043,2024-04-08,Email,Talked about EV potential in the region.,50
D043,2024-02-12,Dealer Visit,Talked about EV potential in the region.,17
D043,2024-06-14,Review Meeting,Discussed sales performance and incentives.,80
D043,2024-08-20,Dealer Visit,Discussed sales performance and incentives.,53
D043,2024-08-12,Call,Talked about EV potential in the region.,41
D043,2024-03-12,Review Meeting,Aligned on quarterly targets and marketing support.,46
D043,2024-05-26,Review Meeting,Reviewed service quality and customer feedback.,32
D043,2024-09-21,Review Meeting,Discussed sales performance and incentives.,30
D043,2024-10-24,Email,Addressed complaints related to warranty delays.,74
D043,2024-01-31,Email,Addressed complaints related to warranty delays.,41
D043,2024-12-25,Email,Addressed complaints related to warranty delays.,10
D044,2024-07-09,Dealer Visit,Aligned on quarterly targets and marketing support.,40
D044,2024-03-17,Video Call,Discussed sales performance and incentives.,41
D044,2024-07-04,Email,Discussed sales performance and incentives.,76
D044,2024-12-13,Review Meeting,Addressed complaints related to warranty delays.,22
D044,2024-12-10,Review Meeting,Addressed complaints related to warranty delays.,77
D044,2024-03-12,Review Meeting,Reviewed service quality and customer feedback.,56
D044,2024-12-27,Call,Aligned on quarterly targets and marketing support.,38
D044,2024-06-17,Dealer Visit,Reviewed service quality and customer feedback.,44
D044,2024-12-17,Dealer Visit,Reviewed service quality and customer feedback.,34
D044,2024-06-03,Dealer Visit,Discussed sales performance and incentives.,21
D044,2024-10-28,Email,Discussed sales performance and incentives.,40
D044,2024-05-18,Email,Reviewed service quality and customer feedback.,57
D044,2024-12-30,Dealer Visit,Addressed complaints related to warranty delays.,59
D044,2024-08-19,Video Call,Talked about EV potential in the region.,19
D044,2024-09-03,Call,Discussed sales performance and incentives.,53
D044,2024-03-16,Email,Addressed complaints related to warranty delays.,67
D044,2024-07-21,Email,Addressed complaints related to warranty delays.,80
D044,2024-10-25,Video Call,Talked about EV potential in the region.,37
D044,2024-12-08,Review Meeting,Aligned on quarterly targets and marketing support.,48
D044,2024-03-19,Call,Addressed complaints related to warranty delays.,45
D044,2024-01-25,Review Meeting,Addressed complaints related to warranty delays.,46
D044,2024-07-21,Email,Discussed sales performance and incentives.,60
D045,2024-12-24,Email,Reviewed service quality and customer feedback.,27
D045,2024-06-13,Dealer Visit,Addressed complaints related to warranty delays.,88
D045,2024-08-05,Review Meeting,Addressed complaints related to warranty delays.,45
D045,2024-02-21,Call,Discussed sales performance and incentives.,14
D045,2024-02-07,Review Meeting,Discussed sales performance and incentives.,12
D045,2024-06-18,Video Call,Addressed complaints related to warranty delays.,74
D045,2024-06-29,Video Call,Aligned on quarterly targets and marketing support.,62
D045,2024-07-09,Video Call,Aligned on quarterly targets and marketing support.,59
D045,2024-07-01,Email,Addressed complaints related to warranty delays.,34
D046,2024-02-18,Review Meeting,Aligned on quarterly targets and marketing support.,41
D046,2024-08-09,Call,Reviewed service quality and customer feedback.,44
D046,2024-03-19,Video Call,Aligned on quarterly targets and marketing support.,15
D046,2024-12-09,Dealer Visit,Addressed complaints related to warranty delays.,85
D046,2024-01-14,Review Meeting,Aligned on quarterly targets and marketing support.,57
D046,2024-01-02,Call,Aligned on quarterly targets and marketing support.,24
D046,2024-01-14,Video Call,Reviewed service quality and customer feedback.,75
D046,2024-02-21,Call,Aligned on quarterly targets and marketing support.,42
D046,2024-07-23,Video Call,Talked about EV potential in the region.,56
D046,2024-11-19,Call,Talked about EV potential in the region.,85
D046,2024-09-04,Video Call,Talked about EV potential in the region.,84
D046,2024-08-19,Video Call,Aligned on quarterly targets and marketing support.,52
D047,2024-05-15,Call,Reviewed service quality and customer feedback.,14
D047,2024-03-21,Dealer Visit,Talked about EV potential in the region.,70
D047,2024-07-18,Email,Talked about EV potential in the region.,72
D047,2024-11-15,Video Call,Aligned on quarterly targets and marketing support.,33
D047,2024-09-12,Review Meeting,Discussed sales performance and incentives.,15
D047,2024-07-28,Dealer Visit,Aligned on quarterly targets and marketing support.,18
D047,2024-12-25,Dealer Visit,Aligned on quarterly targets and marketing support.,58
D047,2024-11-10,Email,Addressed complaints related to warranty delays.,64
D047,2024-10-21,Video Call,Discussed sales performance and incentives.,53
D047,2024-05-19,Review Meeting,Reviewed service quality and customer feedback.,35
D047,2024-10-27,Call,Talked about EV potential in the region.,28
D047,2024-08-30,Review Meeting,Aligned on quarterly targets and marketing support.,51
D047,2024-10-10,Dealer Visit,Addressed complaints related to warranty delays.,77
D047,2024-06-19,Review Meeting,Discussed sales performance and incentives.,15
D047,2024-07-18,Dealer Visit,Reviewed service quality and customer feedback.,69
D047,2024-12-18,Dealer Visit,Discussed sales performance and incentives.,45
D047,2024-09-28,Dealer Visit,Discussed sales performance and incentives.,21
D047,2024-03-26,Email,Discussed sales performance and incentives.,76
D048,2024-09-22,Video Call,Reviewed service quality and customer feedback.,47
D048,2024-02-17,Video Call,Talked about EV potential in the region.,86
D048,2024-07-07,Email,Addressed complaints related to warranty delays.,44
D048,2024-11-12,Email,Discussed sales performance and incentives.,58
D048,2024-11-05,Call,Reviewed service quality and customer feedback.,19
D048,2024-09-28,Video Call,Aligned on quarterly targets and marketing support.,53
D048,2024-10-18,Review Meeting,Aligned on quarterly targets and marketing support.,60
D048,2024-12-08,Dealer Visit,Aligned on quarterly targets and marketing support.,83
D048,2024-09-05,Review Meeting,Addressed complaints related to warranty delays.,82
D048,2024-08-07,Video Call,Talked about EV potential in the region.,23
D049,2024-06-27,Dealer Visit,Talked about EV potential in the region.,58
D049,2024-07-01,Call,Talked about EV potential in the region.,79
D049,2024-06-13,Call,Aligned on quarterly targets and marketing support.,65
D049,2024-04-09,Call,Reviewed service quality and customer feedback.,11
D049,2024-03-01,Review Meeting,Reviewed service quality and customer feedback.,86
D050,2024-04-19,Dealer Visit,Reviewed service quality and customer feedback.,27
D050,2024-10-22,Dealer Visit,Talked about EV potential in the region.,34
D050,2024-05-21,Email,Addressed complaints related to warranty delays.,56
D050,2024-02-02,Call,Discussed sales performance and incentives.,85
D050,2024-03-17,Email,Reviewed service quality and customer feedback.,26
D050,2024-07-05,Dealer Visit,Addressed complaints related to warranty delays.,87
D050,2024-01-19,Call,Reviewed service quality and customer feedback.,23
